web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,PublishedDate,Parking,Description
"1594179298-1435","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4","https://chilepropiedades.cl/propiedades/venta/casa/santiago/3?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.110,09
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/pasaje-cerro-coyocalan-oriente-2783-puente-alto/3632714","118.000.000 CLP","181 m²","86 m²","3","2","10/06/2020","1","Excelente casa ubicada en tranquilo condominio con acceso controlado y conserje media jornada.
Casa de un piso que cuenta con living comedor, amplia cocina independiente, 3 dormitorios, 2 baños, 1 en suite, terraza con quincho muy bien equipado, 2 estacionamientos, áreas verdes con juegos infantiles.
Propiedad con muy buena conectividad, ubicada a pasos de Vicuña Mackenna,  cercana a metro Sotero del Rio y Protectora de la infancia, Supermercados, locales comerciales, hospital y centros médicos, colegios Los Nogales y Alicante, jardines infantiles y  restaurantes, etc."
"1594179283-1430","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.400,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-alacalufes-1004/3711760","6.400,00 UF","272 m²","70 m²","4","1","06/07/2020","3","INCREIBLE OPORTUNIDAD en la Florida, barrio residencial.
Vendo propiedad de 272 mts2 (aprox 21mtsx14mts), perfecta para renovar y/o construir el proyecto que estime conveniente (interesados pregunten por el CIP). 
Cuenta con paradas de micros cercanas a 30 y 100mts, paso de colectivos, cercano a metro Rojas magallanes y Vicente valdes (tambien proximo a nuevo metro en Rojas magallanes con Av la florida a solo 200 mts) gran variedad de Colegios y liceos,jardines infantiles en los alrededores, supermercados (Lider, Lider express, Santa Isabel, Mayorista 10), banco estado, banco de Chile, Banco santander, BCI, Scotiabanck, Farmacia Ahumada, Salcobrand, Cruz verde, Centros medicos como consultorios, hospitales y centros de urgencia y veterinarias, Petrobras y Copec en av la florida, a 5 minutos caminando de Mall y restaurantes, Cine y comisaria, verdulerias, a menos de 10-5 minutos de cajon del maipo en vehiculo y autopistas, cerro panul entre otros servicios. EL VALOR METRO CUADRADO EN EL SECTOR ES DE 56,5UF A 58UF EL MT2, NOSOTROS LA TENEMOS EN APROX 23,6UF MT2."
"1594179362-1454","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.680,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/club-house-ayres-de-chicureo/3582970","5.680,00 UF","500 m²","110 m²","3","2","17/05/2020","2","Casa 1 Piso
3 Dormitorios
Principal en Suite
2 Baños
Estar
Living
Comedor
Cocina Tradicional Equipada
Antejardín
2 Estacionamientos
Quincho
Bodega
Acceso exclusivo a Laguna
Conectividad
Establecimientos Educacionales
Establecimientos Comerciales
Servicios
110 M2 Superficie Construida
500 M2 Superficie Terreno"
"1594179372-1457","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.900,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/puerta-de-vera/2331221","Santiago, Puerta de Vera","125 m²","5.900,00 UF","3","3","19/07/2018","222 m²","Casa Comercial con 2 Locales

Se emplaza en sector comercial, frente a La Vega Poniente. Posee uso habitacional y comercial (2 Locales, uno se usa como comida al paso y el otro como Bodega). La parte trasera se ocupa como vivienda y Bodega.
222 mts2 aprox. Terreno, 125 mts2 Construidos, Estar/Comedor, 3 Dormitorios, 3 Baños, 1 Cocina, 1 Bodega. 
Rol de la propiedad es 1011-26 de Santiago."
"1594179264-1423","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","5.921,32
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/tocornalhospital-clinico-san-borja/3703221","170.000.000 CLP","152 m²","125 m²","3","2","24/06/2020","No","46154. Cómoda Casa pareada de 1 piso con doble entrada por calle y pasaje cerrado. Cuenta con living comedor con salida a patio de luz, cocina amoblada, 3 dormitorios principal en suite. 2 baños. Pisos flotante y cerámicos, 2 calefont, alcantarillado propio. 1 estacionamiento en garaje. Contribuciones $ 100.000 cuota trimestral. Ubicada en tranquilo y consolidado sector de Santiago, con accesos en su entorno inmediato a comercio, centros de salud, supermercados, restaurantes, colegios, locomoción pública y metro Av.Matta. Metraje de la propiedad entregado por propietario (sujeto a confirmación)."
"1594179272-1426","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.100,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/mattacarmen/3598641","6.100,00 UF","174 m²","125 m²","5","2","03/07/2020","No","wwww.procasa.cl VENDE AMPLIA Y ACOGEDORA CASA EN BARRIO TRANQUILO DE SANTIAGO, Matta Sur Posee la siguiente distribución interior, 3 dormitorios amplios y un baño, living comedor y cocina equipada con horno y campana, encimera vitrocerámica. En el exterior cuenta además con 2 dormitorios y un baño, excelente patio, loggia y bodega. Está muy bien mantenida, se rehicieron los baños y cocina, se reemplazó la red de agua potable, red eléctrica y cubierta metálica nueva. Ventanas y puertas originales de raulí, piso de madera original. No tiene estacionamiento, sin embargo tiene la posibilidad de arrendar. DISPONIBLE A CONTAR DEL SEGUNDO SEMESTRE DEL AÑO. AGENDE SU VISITA!"
"1594179285-1431","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.700,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/av-el-rodeo-1135/3015301","6.700,00 UF","327 m²","137 m²","4","3","23/06/2019","4","¡¡¡¡GRAN OPORTUNIDAD!!!! - SE VENDE CASA CONDOMINIO LOMAS DE CHICAUMA, Hermosa casa aislada, accesos controlados 24/7, cámaras de seguridad, 4 Dormitorios y 3 Baños, Cocina full equipada con comedor de diario, Terraza, Quincho, piscina, estacionamiento para 4 vehículos, Excelente conectividad, privacidad y tranquilidad, además, cerca de supermercados, centros comerciales, colegios (PUMAHUE), jardines infantiles y mall.
Metros Cuadrados
Metros Construidos:  137 metros ^2.
Metros Terreno: 327 metros ^2.
Metros Terraza: 35 metros ^2.
Terminaciones
Piso baños: Cerámicos.
Piso Living - Comedor: Porcelanato.
Dormitorios: Piso Flotante y Alfombra.
Características propiedad
Muy bien mantenida, patio con terraza, piscina, quincho y jardines formados, 4 estacionamiento, dormitorio matrimonial en suite, baños con doble vanitorio, ventanas de termopanel.
Otros suministros
internet, teléfono, tv cable, wi-fi, Gastos Comunes $ 55.000, Contribuciones $ 103.000.
Precio: UF 6.700.
¡¡¡NO deje de visitar¡¡¡
www.lodgepropiedades.cl
Contáctanos: 
Carlos Miranda: +569 75894834.
Paulina Montt: +569 96761295.
Email: contacto@lodgepropiedades.cl"
"1594179328-1443","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.597,73
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-ministros/3925201","132.000.000 CLP","128 m²","120 m²","3","2","03/07/2020","1","Casa de construcción solida , ubicada en sector residencial muy buena accesibilidad, 


Cuenta con dos departamentos interiores con un canon de arriendo de $ 450.000.-


Con la siguiente distribución:


Living y comedor agradable espacio 


Cocina amoblada, céramicas en muro y piso en buena conservación


2 baños 


3 Dormitorios 


Patio posterior con entrada para un vehículo. 


Departamentos en segundo piso , cada uno cuenta con cocina baño y un dormitorio. 


Cercana a Metro Las Parcelas, supermercado, plazas y comercio. 


Aceptamos ofertas al valor publicado. 


Vende Good Propiedades Ltda .
Correo: contacto@goodpropiedades.cl"
"1594179303-1437","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4","https://chilepropiedades.cl/propiedades/venta/casa/santiago/3?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.144,92
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/juan-de-dios-malebran-avenida-san-carlos/3927572","119.000.000 CLP","189 m²","75 m²","3","3","06/07/2020","2","Casa modelo sevilla con gran terreno, excelente ubicación, cercana a supermercado, centros comerciales, Colegio Alicante del Sol y locomoción a la puerta. Cuenta con 3 dormitorios, 3 baños y sala de estar. Oportunidad única entre otras ofertas, de tener amplio terreno para disfrutar en familia."
"1594179344-1448","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.980,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/alberto-undurraga-1489/3737864","4.980,00 UF","115 m²","85 m²","3","3","09/05/2020","1","- Casa Aislada
- Casa 84,00 m2
- Terreno de 115 ,00 m2 
- 3 dormitorios alfombrados principal en suite con walk in closet
- 2 baños completos más un baño de vistas
- Baño y cocina con cerámica
- Living y comedor con piso flotante fotolaminado
- Cocina completamente amoblada y equipada con horno, campana y encimera
- Family room No incluye comedor de diario
- Ventana de aluminio
- Quincho
- Terraza
- Mini-bodega"
"1594179269-1425","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.100,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/zaragoza-311/3648390","6.100,00 UF","189 m²","138 m²","4","3","30/06/2020","2","Casa Granada: 3 pisos; 4 dormitorios, principal en suite; 3 baños; 2 salas de estar; living, hall y comedor separados; 2 amplias logias; 2 parking; piscina 3.6 x 5.2 mts c/ cascada, foco y privacidad visual, calefacción central Bosca, calefon automático; cerco eléctrico perimetral; quincho; casa de muñecas o mascotas sólida; reja artística forjada patios; mueble rústico madera de durmientes living; muebles oficina estar 3er piso; cocina amoblada, campana, horno y encimera. Micro barrio c/ portón automático. Silencioso, vecinos organizados, sin gasto común. Plena seguridad, colinda a fundo Lo Campino (sensación campestre y tranquilidad). Mejor oferta del Valle. Venta directa sin comisión. Valor tasación: 6100 UF. OPORTUNIDAD: Por situación país oímos ofertas dese 5100 UF."
