web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href,Province_aux,Province_aux2
"1594171277-675","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5607764-maginifica-vistapiso-25orienteamplios-espaciosa-pasos-del-metrooportunidad-uda#position=4&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","143 m²","138 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		MAGNIFICA VISTA...........PISO 25..........ORIENTACION ORIENTE..........AMPLIOS E ILUMINADOS ESPACIOS...........A PASOS DEL METRO.......ESTACIONAMIENTO....BODEGA.......OPORTUNIDAD......TRES DORMITORIOS MAS SERVICIOS............GASTOS COMUNES $120.000.- APROXIMADO, SIN CALEFACCION........OPORTUNIDAD...NO DEJE DE VISTAR

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","22-06-2020","","","null","null"
"1594171260-667","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 198.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5650436-a-pasos-metro-manuel-montt-uda#position=12&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","198.000.000","115 m²","115 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		VENDO

Lindo departamento estilo francés, ubicado en un 3° piso sin ascensor, a pasos de Metro Manuel Montt.
Cuenta con hall , living y comedor separados de grandes espacios, 2 amplios dormitorios con closet y 1 baño completo de gran tamaño, más dormitorio y pieza de servicio.
Cocina tradicional amoblada.
1 estacionamiento y bodega juntos (cerrado) 
IDEAL PARA REMODELAR !!!!

Vende
Valentina González Solar
+56993196057

Terminaciones 
Piso baños: cerámica
Piso dormitorios: parquet

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
hall, cocina amoblada, persianas

Características comunidad 
accesos controlados, portón eléctrico

Gastos 
Gastos comunes: $ 60.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","$","null","Departamentos","Propiedades usadas","05-06-2020","","","null","null"
"1594171200-639","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5609587-suecia-carlos-antunez-recien-remodelado-uda#position=40&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","111 m²","88 m²","4","2","1","Descripción
			
			
			
	

	

	
	
		Trébol Propiedades vende departamento recién remodelado, muy luminoso, con vista nororiente. Ubicado en calle Suecia con Carlos Antúnez, piso 6. A 7 minutos caminando Metro Estación Los Leones (Lineas 1-6)
Tres amplios dormitorios, principal en suite y terraza. Pieza y baño de servicio.
Estacionamiento techado en superficie y bodega subterránea amplia.
– Contribuciones: $ 177.458
– Gastos comunes: $ 120.000","UF","null","Departamentos","Propiedades usadas","12-05-2020","","","null","null"
"1594171198-638","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","","","Departamentos en Venta en Providencia, 3 dormitorios o más","","","","","","","","","","","","","null","","",""
"1594171234-655","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 180.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5603952-metro-pedro-de-valdivia-uda#position=24&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","180.000.000","105 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Metro Pedro de Valdivia -180 millones
3 dormitorios 2 baños 
Amplios dormitorios con vista panoramica .
cocina independiente con loggia .
dept renovado impecable .Termopaneles .
bodega interior .
Estacionamiento privado .
El edificio esta en una parque .seguridad 24 horas .
 A Pasos del metro Pedro de Valdivia-180 millones
vende languedoc immobilier .982948622

Estacionamientos y bodegas 
 Estacionamientos: 1","$","null","Departamentos","Propiedades usadas","10-05-2020","","","null","null"
"1594171213-645","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5497948-maginifica-vistapiso-25orienteamplios-espaciosa-pasos-del-metrooportunidad-uda#position=34&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","143 m²","138 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		MAGNIFICA VISTA...........PISO 25..........ORIENTACION ORIENTE..........AMPLIOS E ILUMINADOS ESPACIOS...........A PASOS DEL METRO.......ESTACIONAMIENTO....BODEGA.......OPORTUNIDAD......TRES DORMITORIOS MAS SERVICIOS............GASTOS COMUNES $120.000.- APROXIMADO, SIN CALEFACCION........OPORTUNIDAD...NO DEJE DE VISTAR

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","11-03-2020","","","null","null"
"1594171224-650","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/MLC-524330918-departamento-en-venta-metro-pedro-de-valdivia-_JM#position=29&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","102 m²","102 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Atención Inversionistas Departamento arrendado hasta enero. Departamento excelente ubicación, a pasos del metro Pedro de Valdivia, en pleno providencia, NO tiene terraza, 3 dormitorios , principal en suite, walk in closet, 2 baños, 1 estacionamiento subterráneo, sin bodega. Gastos comunes aprox. 148.000 incluye cuenta de agua potable. Contribuciones trimestrales $118.000.- Puede ser usado como oficina para profesionales. No dejar de visitar. fnc1705","UF","null","Departamentos","Propiedades usadas","21-04-2020","","","null","null"
"1594171221-649","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/MLC-522728812-propiedad-en-lotalos-leones-_JM#position=30&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.900","120 m²","108 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Acogedor departamento en el mejor barrio de Providencia, consta de dormitorio principal en suite, más 2 dormitorios que comparten 1 baño, living comedor oriente, cocina y loggia. Dos estacionamientos y bodega.","UF","null","Departamentos","Propiedades usadas","26-03-2020","","","null","null"
"1594171254-664","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5645895-ricardo-lyon-bustos-uda#position=15&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.900","104 m²","92 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Acogedor y amplio departamento en 5º Piso.
Orientación Nor-Poniente.
Amplio Living-comedor.
Gran Terraza.
Cocina con logia separada.
3 dormitorios (en los tres dormitorios caben cama de 2 plazas).
En habitación principal con ventanal termo panel.
2 baños con tina.
Baño principal con ventilación y luz natural.
Living-Comedor y Habitaciones piso flotante.
Estacionamiento y bodega.
EDIFICIO
Dos ascensores.
Conserje día y noche.
Control de acceso por cámaras. 
Edificio de sólo 6 pisos.
Excelente barrio. Muy bien ubicado.
A 2 cuadras de Bilbao, del Metro Inés de Suárez, de Pedro de Valdivia.
Cercano a Supermercados, Bancos, Colegios, Gimnasios, etc.
Gastos comunes aprox. $145.000
AMOBLADO OPCIONAL

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
loggia, cocina amoblada, portón automático

Características comunidad 
accesos controlados, citófono, portón eléctrico

Gastos 
Contribuciones: $ 150.000
Gastos comunes: $ 145.000

Otros suministros 
internet, wi-fi

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","04-06-2020","","","null","null"
"1594171236-656","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.450","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5607307-roman-diaz-manuel-a-maira-uda#position=23&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.450","100 m²","95 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Excelente Departamento, luminoso, cercano al barrio Italia Living y Comedor amplios con salida a la terraza Cocina separada, Loggia,comedor de diario, amplios espacios interiores 3 dormitorios, principal en suite, con terraza 2 Baños El Departamento esta en excelente estado Incliye Estacionamiento y Bodega El edificio cuenta con Piscina, 
Cercano al Barrio Italia
Cercano a Colegios
Barrio muy residencial

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","12-05-2020","","","null","null"
"1594171204-641","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.790","https://www.portalinmobiliario.com/MLC-518231503-propiedad-en-metro-pedro-de-valdivia-_JM#position=38&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.790","100 m²","100 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		UBICACION A PASOS DEL METRO PEDRO DE VALDIVIA, costanera, centros comerciales, restaurantes, rápidos accesos a importantes avenidas. De 100 m2 útil, con vista despejada al Nor Poniente, muy iluminado. 1 BODEGA y 1 ESTACIONAMIENTO EN SUBTERRANEO.","UF","null","Departamentos","Propiedades usadas","03-01-2020","","","null","null"
"1594171258-666","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.700","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5649816-los-leones-universidad-san-sebastian-uda#position=13&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.700","112 m²","112 m²","4","2","1","Descripción
			
			
			
	

	

	
	
		SOLO INVERSIONISTAS (ARRENDADO EN $600 MIL )
Estupendo depto e 3 piso sin ascensor con todo piso parquet renovado de los años 60 
llama a +56975284508 o envía whatsapp a cualquier hora para visitar. 
CONSTA DE :
Amplio living comedor con piso parquet mirando al interior condominio vista al jardin y orientacion norte (no a la calle)
3 dormitorios (entran camas de dos plazas) con piso parquet y muy iluminados con orientación Oriente.
4 dormitorio es para escritorio o sala de estar 
2 baños totalmente renovados y uno con jacuzzi
cocina con horno empotrado y encimera
gastos comunes aprox $150 mil
contribuciones 144 (incluye estac)
Cercano a Mall, universidades , estación de metro y múltiples servicios.
llama !! y haz tu oferta!!!



Terminaciones 
Piso baños: baldosa
Piso dormitorios: parquet

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
escritorio, hall, hidromasaje, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, áreas verdes, circuito cerrado de tv, citófono, portón eléctrico

Gastos 
Contribuciones: $ 144.000
Gastos comunes: $ 150.000

Otros suministros 
internet, señal satelital, teléfono, tv cable, wi-fi

Estacionamientos y bodegas 
 Estacionamientos: 1","UF","null","Departamentos","Propiedades usadas","05-06-2020","","","null","null"
"1594171282-677","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.580","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5669728-francisco-bilbao-ricardo-lyon-uda#position=2&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.580","104 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		3 dormitorios, 2 baños, estacionamiento y bodega.
Uno de los dormitorios usado como servicio.
A dos cuadras de Metro Ines de Suarez, Plaza Pedro de Valdivia y supermercados.
Los mejores colegios de la comuna a pocas cuadras.
104 mt2 totales, 4 mt2 de terraza.
Gastos Comunes $95.000
Contribuciones $120.000
En primer piso, muy silencioso.

Terminaciones 
Piso baños: cerámica
Piso dormitorios: alfombra

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
loggia

Características comunidad 
accesos controlados, estacionamiento de visitas

Gastos 
Contribuciones: $ 120.000
Gastos comunes: $ 95.000

Otros suministros 
internet, teléfono, tv cable

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","02-07-2020","","","null","null"
"1594171264-669","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5662665-barrio-italia-metro-estacion-santa-isabel-y-parque-bustamante-uda#position=10&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.500","102 m²","90 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Cómodo departamento en excelente estado con amplia terraza, ubicado en segundo piso, 3 dormitorios con closet, 2 baños; 1 dormitorio en suite, orientación poniente, cocina semi equipada, logia. 
El edificio cuenta con salones de niños y eventos , piscina, gimnasio, areas verdes, bicicletero, sistema de vigilancia y accesos controlados 24/ 7. 
Excelente conectiividad, cercano a barrio Italia, supermercados estaciones de metro parque Bustamante y Santa Isabel. 


*Cuanta con bodega y estacionamiento
*Gasto común aproximado $110.000.-
*Contribuciones 105.000.-

Interesados contactarse con Natalia Montoya al fono / WhathSapp +569 5 4421111



Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","13-06-2020","","","null","null"
"1594171284-678","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5695376-barrio-italia-metro-estacion-santa-isabel-y-parque-bustamante-barrio-italia-providencia-uda#position=1&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.500","100 m²","90 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Amplio y cómodo departamento en excelente estado con amplia terraza, ubicado en segundo piso, 3 dormitorios con closet, 2 baños; 1 dormitorio en suite, orientación poniente, cocina semi equipada, logia.
El edificio cuenta con salones de niños y eventos , piscina, gimnasio, áreas verdes, bicicletero, sistema de vigilancia y accesos controlados 24/ 7.
Excelente conectiividad, cercano a barrio Italia, supermercados estaciones de metro parque Bustamante y Santa Isabel.


*Cuanta con bodega y estacionamiento
*Gasto común aproximado $110.000.-
*Contribuciones 105.000.-

Interesados contactarse con Natalia Montoya al fono / WhathSapp +569 5 4421111

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","03-07-2020","","","null","null"
"1594171226-651","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 165.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5586546-doctor-roberto-del-rio-970-uda#position=28&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","165.000.000","101 m²","101 m²","4","2","1","Descripción
			
			
			
	

	

	
	
		Amplio y Hermoso depto en primer piso en la comuna de Providencia (Ideal para personas de la tercera edad o con problemas de movilidad). Cercano a Avenida Holanda con Eliodoro Yañez. 4 Dormitorios (Principal en Suite), 2 baños. Uno de los Dormitorios habilitado como un gran Walk in Closet, el que se puede utilizar nuevamente como dormitorio. 101 m2 útiles. Depto remodelado, está impecable. Piso flotante de alto tráfico, muebles de cocina nuevos hechos a medida, cubiertas de granito, Lavaplatos doble, comedor diario, piso de porcelanato, campaña Ursus trotter. Habitación de servicio impecable, con el mismo piso flotante que se aprecia en living comedor y las habitaciones. Loggia de 4 m2 aprox 

La habitación principal tiene un pequeño Walk in closet diferente al otro más grande que ocupa toda una habitación. Tanto el baño principal como el de visitas, tiene un porcelanato indio que cubre pisos y muros, quedando solamente el cielo sin cerámica. El baño principal tiene una tina hidromasaje, vanitorio de marmol en ambos baños. La particularidad de este depto que no debe invertir en arreglos ya que fue totalmente remodelado, pensando en la utilización de todos los espacios, utilizando colores claros para favorecer la luminosidad y la sensación de mayor espacio.
Todas las ventanas poseen defensas, por lo que es muy seguro.
El depto cuenta con estacionamiento y bodega. A 6 cuadras de Metro Cristóbal Colón. 
Dentro de los muestreos de deptos en venta en el sector este es el más conveniente y además no tendrá que invertir en remodelar. Tanto el Precio y el estado del depto son factores inmejorables. 
Agua caliente es por calefón.
A 7 minutos de Costanera Center, bancos, colegios, centros comerciales a 7 cuadras de la co,una de las Condes, a 15 minutos caminando de metro Tobalaba. 

Coordine visita pronto ya que hay diferencia de más de 35 millones respecto de otros de las mismas características, por lo que es una verdadera oportunidad. Se vende por cambio de ciudad.
Gastos comunes $110.000 aprox. 



Terminaciones 
Piso baños: porcelanato
Piso dormitorios: piso flotante

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
hidromasaje, loggia, reja en ventanas, cocina amoblada, portón automático

Características comunidad 
accesos controlados, áreas verdes

Gastos 
Gastos comunes: $ 110.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","$","null","Departamentos","Propiedades usadas","30-04-2020","","","null","null"
"1594171245-660","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5631559-genova-perdo-de-valdivia-uda#position=19&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.900","113.2 m²","105.2 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Amplio y luminoso departamento ubicado a cuadras de providencia en calle interior y muy poco transitada, el edificio tiene salida también a Galvarino Gallardo. piso 3°

Terminaciones 
Piso baños: porcelanato
Piso dormitorios: piso flotante

Suministros 
Agua caliente: central agua caliente

Características propiedad 
loggia, terraza con malla, cocina equipada, portón automático

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, portón eléctrico, sala de eventos, sala de juegos

Gastos 
Contribuciones: $ 106.222
Gastos comunes: $ 120.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","26-05-2020","","","null","null"
"1594171252-663","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5645044-carlos-antunez-avda-el-bosque-uda#position=16&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","100 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		EXCELENTE DEPARTAMENTO MUY AMPLIO 

Piso 3 orientación sur oriente 

Muy bien ubicado en  avda Carlos Antunez con el bosque , lindo sector , areas verdes , plazas , conectividad 

Tiene tres dormitorios muy amplios , dos baños completos 

Conexion a lavadora 

Incluye estacionamiento y bodega 

Dos terrazas

Consejería 24 hrs. , Gasto Común $ 120.000 aprox.

Características comunidad 
accesos controlados

Estacionamientos y bodegas 
 Estacionamientos: 1","UF","null","Departamentos","Propiedades usadas","03-06-2020","","","null","null"
